,Ts,is,ip,mp,iref,far,zt,zc1,zc2,zc3,fp,pa,symbol,bool,date
1522,55:401:942:504,34118,715584,21.76,21.75,21.77,N,84,15,57,1.0,0.0004597701149426006,100,0,0
1523,55:452:371:379,34118,715584,21.76,21.75,21.77,N,84,15,57,1.0,0.0004597701149426006,100,0,0
1524,56:041:134:570,47467,475407,9.05,9.04,9.07,N,0,0,0,1.0,0.0011061946902656597,569,0,0
1525,56:144:280:526,46667,476207,9.05,9.04,9.07,N,0,0,0,1.0,0.0011061946902656597,569,0,0
1526,56:406:681:758,33518,716184,21.76,21.75,21.77,N,84,15,57,1.0,0.0004597701149426006,100,0,0
1527,57:156:485:754,-26777,575897,27.16,27.19,27.15,N,0,0,0,1.0,0.0011033468186833811,347,1,0
1528,57:158:685:500,-45750,300389,9.61,9.62,9.59,N,0,0,0,1.0,0.0010395010395010174,193,1,0
1529,57:159:734:259,-21563,123148,12.89,12.91,12.88,N,0,0,0,1.0,0.0015491866769945448,183,1,0
1530,57:206:956:146,-26777,575897,27.16,27.19,27.15,N,0,0,0,1.0,0.0011033468186833811,347,1,0
1531,57:323:063:282,-53066,891765,8.09,8.11,8.09,N,0,0,0,1.0,0.0024660912453760265,476,1,0
1532,57:327:620:691,40485,1290693,8.17,8.16,8.17,N,113,1,111,1.0,0.0012254901960784053,376,0,0
1533,57:362:313:076,-21563,123148,12.89,12.91,12.88,N,0,0,0,1.0,0.0015491866769945448,183,1,0
1534,57:378:053:139,40485,1290693,8.17,8.16,8.17,N,113,1,111,1.0,0.0012254901960784053,376,0,0
1535,57:389:345:864,-22288,328732,5.11,5.12,5.09,N,0,0,0,1.0,0.0019531249999999584,230,1,0
1536,57:414:151:252,32918,716784,21.76,21.75,21.77,N,84,15,57,1.0,0.0004597701149426006,100,0,0
1537,57:464:501:242,32918,716784,21.76,21.75,21.77,N,84,15,57,1.0,0.0004597701149426006,100,0,0
1538,57:985:494:928,40485,1290693,8.17,8.16,8.17,N,113,1,111,1.0,0.0012254901960784053,376,0,0
1539,58:035:748:827,90770,1249850,8.17,8.15,8.17,N,113,1,111,1.0,0.0024539877300612974,376,0,0
1540,58:049:941:845,-22287,328733,5.11,5.12,5.09,N,0,0,0,1.0,0.0019531249999999584,230,1,0
1541,58:151:873:794,-22287,328733,5.11,5.12,5.09,N,0,0,0,1.0,0.0019531249999999584,230,1,0
1542,58:172:112:995,-20226,731591,134.14,134.23,134.11,N,18,13,0,1.0,0.0006704909483722225,25,1,0
1543,58:172:367:109,-74897,2924910,6.96,6.99,6.95,N,2,1,0,1.0,0.004291845493562267,155,1,0
1544,58:222:972:718,-20226,731591,134.14,134.23,134.11,N,18,13,0,1.0,0.0006704909483722225,25,1,0
1545,45:004:665:167,-26374,182748,107.04,107.05,106.85,N,0,0,0,1.0,9.341429238665021e-05,246,1,1
1546,45:005:211:459,7769,230330,127.25,127.06,127.57,N,3,0,3,1.0,0.0014953565244766073,527,0,1
1547,45:005:260:877,20277,487988,47.6,47.56,47.64,N,148,13,0,1.0,0.0008410428931875346,395,0,1
1548,45:005:335:726,-10644,73901,163.75,163.98,163.75,N,12,0,0,1.0,0.0014026100743992547,23,1,1
1549,45:006:140:234,-78857,921112,59.98,59.99,59.95,N,0,0,0,1.0,0.00016669444907493108,212,1,1
1550,45:007:042:508,3884,122487,44.83,44.79,44.85,N,3,0,3,1.0,0.0008930564858227092,342,0,1
1551,45:007:104:498,-9814,166269,55.89,55.9,55.83,N,0,0,0,1.0,0.00017889087656525958,509,1,1
1552,45:007:188:903,6333,179555,142.3,142.22,142.34,N,2,0,2,1.0,0.0005625087891999191,289,0,1
1553,45:007:239:380,-196187,6969486,168.75,168.91,168.75,N,2,0,2,1.0,0.0009472500148007613,1,1,1
